Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
511672,SCANSTL,X,41.45,42.35,39.02,39.10,25985,10.57,194
509635,HINDCOMPOS,B,469.95,475.00,431.30,437.80,2357,10.56,437
531439,GOLDTECH,T,95.50,95.50,91.20,91.20,11457,10.52,64
506525,KANORICHEM,B,135.65,135.65,123.50,126.40,8235,10.49,292
537292,AGRITECH,T,187.30,187.30,187.30,187.30,5582,10.45,39
543305,NAVODAYENT,M,9.30,10.00,9.30,9.30,108000,10.45,9
526747,PGFOILQ,XT,239.95,239.95,224.35,224.35,4566,10.40,111
542919,ARTEMISMED,B,137.80,137.80,127.25,129.50,7832,10.36,340
542921,ICICIM150,B,160.98,160.98,153.60,154.60,6659,10.33,166
502873,HPCOTTON,X,112.01,119.99,103.00,103.00,9376,10.33,127
505893,HINDHARD,XT,489.10,498.00,456.00,456.00,2139,10.31,60
514266,ZENIFIB,X,67.89,68.49,65.99,67.00,15368,10.31,114
505827,SNL,X,330.05,330.05,310.05,316.20,3209,10.30,124
539725,GOKULAGRO,B,115.35,115.75,109.55,110.00,9278,10.30,323
531156,ALFAVIO,XT,20.41,20.41,19.51,19.51,52516,10.29,73
533543,BROOKS,T,107.73,109.00,107.73,108.85,9481,10.24,27
543512,AVROIND,B,125.00,128.00,115.35,116.45,8612,10.19,420
530163,KERALAYUR,X,126.05,129.75,122.55,124.00,8176,10.19,130
500317,OSWALAGRO,B,29.95,30.05,27.40,27.89,36243,10.17,605
543221,ICICITECH,B,34.31,34.78,34.15,34.60,29493,10.15,165
512093,CRANESSOFT,XT,4.00,4.01,3.91,4.01,253162,10.14,270
531287,NATPLASTI,XT,203.45,203.45,203.45,203.45,4985,10.14,38
532521,PALRED,B,158.00,158.00,146.40,148.15,6770,10.12,605
543438,DSPQ50ETF,B,198.64,199.00,193.34,194.48,5152,10.10,92
540393,SMLT,T,238.00,243.90,227.75,228.10,4302,9.99,154
500270,BARODARY,XT,180.65,188.80,171.55,177.50,5568,9.98,197
511549,MORARKFI,X,141.00,146.00,141.00,142.00,6962,9.96,142
539598,CGFL,XT,147.10,152.00,145.10,147.50,6651,9.96,74
530365,ORIENTBELL,B,477.60,485.85,463.00,472.40,2112,9.93,341
538119,RNBDENIMS,B,31.92,33.79,30.91,31.01,31575,9.92,169
532456,COMPUAGE,B,13.01,13.15,12.51,12.71,77587,9.91,378
500014,UTIQUE,X,7.20,7.59,6.21,6.83,142944,9.89,448
530677,SUPREME,X,79.95,80.30,73.25,76.00,12950,9.85,147
516064,ARROWGREEN,T,350.00,350.00,335.00,335.30,2891,9.82,69
539097,URSUGAR,B,12.92,12.98,11.99,12.17,80410,9.81,208
522294,TIGLOB,X,215.70,215.70,200.00,204.00,4713,9.80,108
531153,DILIGENT,X,11.05,11.05,9.91,10.35,96010,9.76,282
590136,KOTAKBKETF,B,464.88,467.15,461.70,463.14,2100,9.76,125
531952,RIBATEX,XT,52.75,52.75,48.52,49.00,19794,9.74,113
520021,OMAXAUTO,B,62.26,64.95,61.55,61.55,15561,9.74,272
522029,WINDMACHIN,T,64.20,67.40,63.00,65.00,14961,9.73,52
532387,PNC,B,40.00,40.00,36.55,36.60,25945,9.72,262
524594,ASHOKALC,X,123.80,123.80,105.35,112.00,8535,9.70,199
537785,RACE,B,267.80,267.80,260.00,265.00,3673,9.67,229
522017,FLUIDOM,XT,345.45,345.45,345.45,345.45,2797,9.66,37
530579,UYFINCORP,Z,26.46,27.43,26.05,26.50,36463,9.65,106
507580,IVP,B,177.90,177.90,167.25,170.80,5658,9.63,223
540937,MEDICO,B,74.44,74.90,71.44,74.90,13057,9.62,391
500234,KAKATCEM,B,237.10,238.70,219.90,223.10,4246,9.61,262
512257,SVARTCORP,X,3.35,3.35,2.73,3.04,314372,9.60,611
